time,DivisionNo.1_1,DivisionNo.2_1,DivisionNo.7_1
2023-01-01 14:00:00,0.22028297674159206,0.7581990506906401,0.20286386781930923
2023-01-01 15:00:00,0.24270227778454614,0.7755583019961011,0.2018298697868983
2023-01-01 16:00:00,0.26499202410876743,0.7912003496831115,0.21227858783801393
2023-01-01 17:00:00,0.22843802186846732,0.7492865266583183,0.2874507630467414
2023-01-01 18:00:00,0.21170277038713295,0.7212990279631181,0.3303833647370338
2023-01-01 19:00:00,0.1692341320067644,0.6620695991678671,0.353570645113786
2023-01-01 20:00:00,0.11804359465340772,0.5956655818765814,0.411396476606528
2023-01-01 21:00:00,0.09344245219230651,0.5538168350133028,0.5405243895053861
2023-01-01 22:00:00,0.09992305984099706,0.5436324437910861,0.6169040015538533
2023-01-01 23:00:00,0.1208468351314465,0.5673100978948853,0.6257549167076746
2023-01-02 00:00:00,0.12731648395458856,0.5259484153715046,0.6382088250517843
2023-01-02 01:00:00,0.13765739333629606,0.45449354881590054,0.6738630199829736
2023-01-02 02:00:00,0.13401068177819253,0.3600249644707549,0.6656607401569683
2023-01-02 03:00:00,0.12881802325447397,0.28558515873822293,0.6292622703909874
2023-01-02 04:00:00,0.11940529721975326,0.26951699324629524,0.5625264461239179
2023-01-02 05:00:00,0.12660770089427628,0.16222921062599527,0.7578336759209633
2023-01-02 06:00:00,0.1116222414871057,0.08484236890619452,0.7290166643857956
2023-01-02 07:00:00,0.12911734682321546,0.16030081091956658,0.7064224252502121
2023-01-02 08:00:00,0.1713274442652861,0.32929692524400617,0.6504853369990984
2023-01-02 09:00:00,0.2227800699571768,0.45807564662261435,0.6093988830645877
2023-01-02 10:00:00,0.2806178284982839,0.5720534241470423,0.6363897366722424
2023-01-02 11:00:00,0.389597827365001,0.6815395998412913,0.6753392574191092
2023-01-02 12:00:00,0.44070734432339675,0.7056165285814893,0.7143831276893614
2023-01-02 13:00:00,0.44171374303102495,0.6736383407495237,0.7456070610086122
2023-01-02 14:00:00,0.44647407378753023,0.6473447435010563,0.7920675808588662
2023-01-02 15:00:00,0.4482025322914123,0.6430745371092449,0.8222198244531949
2023-01-02 16:00:00,0.49015833872556686,0.6756641793251038,0.88593839909633
2023-01-02 17:00:00,0.5326846375862757,0.48823946909470983,0.907524372279644
2023-01-02 18:00:00,0.46626009762287146,0.47776302703402257,0.8975053663055104
2023-01-02 19:00:00,0.469694964170456,0.4660063108801841,0.880867276549339
2023-01-02 20:00:00,0.5378130456407865,0.5085417450287125,0.8434179946780204
2023-01-02 21:00:00,0.6251061597665148,0.5218674933368509,0.768216218392054
2023-01-02 22:00:00,0.676712876300017,0.46356450262394816,0.6320712505976359
2023-01-02 23:00:00,0.7337715831398963,0.4607235010916536,0.49278454015652334
2023-01-03 00:00:00,0.766664852599303,0.5208862044865434,0.4666817500392596
2023-01-03 01:00:00,0.7476465388536454,0.5570663266832178,0.557896302541097
2023-01-03 02:00:00,0.6628353477120399,0.45721185789866875,0.6317726258834202
2023-01-03 03:00:00,0.5963269149859745,0.3744580519876697,0.6843959933519362
2023-01-03 04:00:00,0.5720837156573931,0.3594742155481469,0.7361952218015987
2023-01-03 05:00:00,0.6033394779761633,0.45172241920774625,0.751181837340196
2023-01-03 06:00:00,0.7142360966205598,0.5494017219272527,0.7721835041244823
2023-01-03 07:00:00,0.8425526576042174,0.6734537886760452,0.8134834764202434
2023-01-03 08:00:00,0.9263339406649271,0.8349874391339042,0.8543581521511078
2023-01-03 09:00:00,0.9616051610509555,0.9658413117040286,0.9369441883365314
2023-01-03 10:00:00,0.9695567899942399,0.9795881417935545,0.9862235983014105
2023-01-03 11:00:00,0.9807195657889047,0.989676396359097,0.9980402901172637
2023-01-03 12:00:00,0.9771390869220098,0.9862895346771587,0.9993592976331711
2023-01-03 13:00:00,0.9772422643303872,0.9853284662420101,0.9990828204154968
2023-01-03 14:00:00,0.9793390945792199,0.9845991427248175,0.997799794435501
2023-01-03 15:00:00,0.9825968007644017,0.9870485722747716,0.9992752826213835
2023-01-03 16:00:00,0.9861389099558193,0.988318906751546,0.9995251369476319
2023-01-03 17:00:00,0.9737377941012383,0.9783380779623986,0.9984366402626037
2023-01-03 18:00:00,0.9728302766482035,0.9572799227183516,0.9958502362171809
2023-01-03 19:00:00,0.9853834908008576,0.9485161567547103,0.9915978683630624
2023-01-03 20:00:00,0.9967280492782593,0.967053190686486,0.9878529680172602
2023-01-03 21:00:00,0.9953206383784612,0.975946265865456,0.9844902774691581
2023-01-03 22:00:00,0.9879316873749097,0.96537928735668,0.987760827600956
2023-01-03 23:00:00,0.9787107188105585,0.9546295063062147,0.9874387677311897
2023-01-04 00:00:00,0.9707564883828164,0.9143117718534035,0.9592970011234283
2023-01-04 01:00:00,0.9541983655492464,0.8999724730849266,0.901333854218324
2023-01-04 02:00:00,0.9347412297328312,0.9028747030279852,0.8176060417493184
2023-01-04 03:00:00,0.8800798561573029,0.8700286043773997,0.7136722051302591
2023-01-04 04:00:00,0.826630273381869,0.8449658990719101,0.6487400354941687
2023-01-04 05:00:00,0.7808771202564238,0.8459274645014241,0.5752316513458887
2023-01-04 06:00:00,0.808670217692852,0.8992861760746347,0.5027477403779824
2023-01-04 07:00:00,0.8719828645984331,0.9429010804132982,0.4625398186445235
2023-01-04 08:00:00,0.907674907386303,0.9684796279668807,0.4171622120440005
2023-01-04 09:00:00,0.928434868633747,0.9881132202256808,0.38798757460713384
2023-01-04 10:00:00,0.8999607506394385,0.986239982951771,0.3720717626710732
