time,Capital_1,PowellRiver_1,CentralCoast_1,CentralCoast_2,MountWaddington_1,MountWaddington_2,Comox-Strathcona_1,Skeena-QueenCharlotte_2,Nanaimo_2,Squamish-Lillooet_1,EastKootenay_1,CowichanValley_1,CowichanValley_2,Alberni-Clayoquot_1,GreaterVancouver_1,SunshineCoast_1,Skeena-QueenCharlotte_1,Nanaimo_1,Kitimat-Stikine_1,Stikine_1,Capital_2,Cariboo_1,Thompson-Nicola_1,FraserValley_1,Columbia-Shuswap_1,Kitimat-Stikine_2,Fraser-FortGeorge_1,Comox-Strathcona_2,Alberni-Clayoquot_2,Thompson-Nicola_2
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 10:00:00,0.09428359839960886,0.03742334293831667,0.0,0.0,0.0,0.0,0.0073031968214386745,0.0,0.13965891070106398,0.07007154697963906,0.21823884194897514,0.1298476001538963,0.11518532794715182,0.07962493675653462,0.09614803846545475,0.10633374834966264,0.0,0.14084371077813318,0.0,0.0,0.10037715891924998,0.026464339535024636,0.16357250202953774,0.11209388678631799,0.08288799394125895,0.0,0.0823742967390054,0.007234503221948856,0.10439530713060673,0.17248052060592065
2023-01-01 11:00:00,0.18100536555503804,0.15668826403412509,0.16645087077924486,0.09254545729053565,0.24555300736468433,0.20438268335116277,0.12315092816117194,0.0030736655849042714,0.213077192441232,0.17391678460286358,0.3303680124541868,0.2201449081768224,0.20863775037027898,0.20459266179422073,0.11653263011868374,0.18175234035858953,0.0015312521600961222,0.19993073968388575,0.006195920070498959,0.00018349508344311512,0.1830345634033038,0.2728258746066639,0.19181014131183394,0.14618675934113629,0.13641426671616463,0.0187248716706955,0.18807179926497491,0.17302316493761571,0.20432543768161457,0.24482819785593646
2023-01-01 12:00:00,0.24682976604131845,0.21020457664948458,0.10882155393514005,0.08385827208257592,0.1750770645766763,0.15327096340657909,0.19737660971118062,0.014479677344321942,0.2461611012210459,0.3541560815372122,0.3947936018312652,0.2680407004723459,0.24260790832852708,0.22081949994643227,0.21717391421705215,0.24572685369246108,0.011627649246467777,0.20237970514914627,0.026280736772042956,0.009801980397700305,0.2513667414003867,0.26814127430467743,0.33669059784464916,0.36297612598835344,0.24822978115346886,0.034868929248663645,0.19590508919768598,0.22030740669238774,0.180052590210672,0.37276559362333384
2023-01-01 13:00:00,0.17029277719869185,0.2918179690389424,0.15345697939102307,0.13114171682808395,0.23661306109670013,0.1738379708201946,0.2866088438679098,0.03715776880044606,0.18536727744721204,0.4794807511663184,0.47873408912830556,0.18999336391468857,0.1792755028522007,0.23988709738095793,0.12735893980440993,0.2798129439689283,0.032424203930791595,0.1721480891677056,0.057575595457176734,0.02577842571379758,0.17539675596854162,0.2818057862120921,0.4482992551688182,0.3980418497671968,0.38464276646645845,0.07818880471080229,0.31734083069312885,0.2671852760444975,0.2459709792857512,0.46593052102120686
2023-01-01 14:00:00,0.18499284911730168,0.348154861195292,0.17490927622543517,0.14964077072199383,0.2679114381348302,0.20197399754930648,0.3469188419802099,0.04497005399345135,0.23642348417601386,0.47129439206572565,0.40588939541460034,0.2525719226320225,0.23082112300370305,0.3734930260736785,0.21553262407265628,0.3536374761007984,0.0359500268183832,0.24432778992953957,0.07682246445228436,0.036095947795623,0.19409581735957704,0.2698501162653736,0.48964490925151427,0.3860477018754253,0.3848573277146917,0.12366652919914217,0.2889944714007639,0.33349637976446955,0.37014262039197476,0.5358292856497835
2023-01-01 15:00:00,0.1313366155261033,0.4476149399930335,0.1760274230755188,0.19014394773170457,0.20842683532286874,0.18410282148632237,0.3804727326320001,0.03381531044123838,0.24349996302338445,0.5336858714119207,0.37681176380535464,0.24838377609620452,0.2238298136610957,0.3270770106170525,0.09913911436405164,0.3852407955796767,0.028477952274235933,0.28758457263234405,0.0885796484199871,0.027706594296200607,0.1400314964358573,0.2766634594337654,0.4562053205012695,0.39528864907712347,0.32194755037888473,0.13382961570562116,0.2465097392904223,0.3500138375908485,0.3961251605539867,0.5044051225885938
2023-01-01 16:00:00,0.10676941031491996,0.39484937774425877,0.08196434067040095,0.10534299985443822,0.09919859289307666,0.07502445153954962,0.29625070070096704,0.019215796523476172,0.1346992051734217,0.5733505031537443,0.2846074187420918,0.13237727917216727,0.1278240877850193,0.10858576816907595,0.15440774918746877,0.3433420177867862,0.01806384333620533,0.14978379998380478,0.0602308600231899,0.015977614210832037,0.11265511328132508,0.3160343713186466,0.4042412044162421,0.42854350628402,0.17275961338416482,0.07672920826469458,0.20388621344493718,0.2526744746517033,0.16255572291980272,0.44778405539476074
2023-01-01 17:00:00,0.08712785683275573,0.19341206852631704,0.01710285392243333,0.01977701055489161,0.021306474555312552,0.018446519117673078,0.11715410049369072,0.0038659753605022047,0.09172435073147771,0.3700428918901431,0.20544213243855164,0.10093071876133035,0.09557947559172764,0.072800498524732,0.17745893730432274,0.23796670241978438,0.0034800766889155955,0.0976896782550444,0.012534462185953072,0.006423841303694617,0.0927533286665667,0.17894294630584343,0.23782024065410035,0.35660572165490234,0.09928707544532946,0.015136070733654267,0.11046564468791467,0.09450847231539539,0.09804288326539282,0.28150777627992396
2023-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
