cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank,Operational_life,resource_type
Middlesex_1,42.67982509090051,1.3665982035504765,0.0,0.0238,0.21088135446386067,1,1567.1613704796714,Middlesex,ON_DUA_DSS,8.553313947868443,1,20,solar
Chatham-Kent_1,42.84363840556304,1.3665982035504765,0.0,0.0238,0.2103440676025937,1,1609.27869850255,Chatham-Kent,ON_DUA_DSS,6.147041516908801,2,20,solar
Elgin_1,43.24104351501154,1.3665982035504765,0.0,0.0238,0.21076406607054077,1,917.2638207941093,Elgin,ON_DUA_DSS,11.005617769739608,3,20,solar
Middlesex_2,43.83248682165588,1.3665982035504765,0.0,0.0238,0.20660962007118897,2,906.2961102236695,Middlesex,ON_LGW_DSS,9.024695516495377,5,20,solar
