time,Dufferin_1,Dufferin_2,Wellington_1,Huron_1,Wellington_2
2023-01-01 12:00:00,0.730833484083414,0.611235045492649,0.464902644380927,0.1846200471371412,0.3489407024532556
2023-01-01 13:00:00,0.551161811351776,0.5315170575678347,0.29975560277700425,0.0958073404058814,0.2014015723764896
2023-01-01 14:00:00,0.2774947752058506,0.31044532224535937,0.14743925012648104,0.11266754373908042,0.09420465923845768
2023-01-01 15:00:00,0.16470234692096708,0.1546057394146919,0.21750793784856795,0.2944369310885667,0.19548789136111736
2023-01-01 16:00:00,0.38566513061523433,0.3121566447615623,0.3180819085240364,0.17676857255399225,0.26708703801035877
2023-01-01 17:00:00,0.2754608662426471,0.2038943642377853,0.17806237444281575,0.08883665792644024,0.12915409240871667
2023-01-01 18:00:00,0.21257780775427815,0.13422899723052978,0.15471003949642176,0.1260240052267909,0.12004951018840074
2023-01-01 19:00:00,0.15107370898127553,0.07480396784842014,0.1515975288301706,0.13103080306202172,0.13455559153109786
2023-01-01 20:00:00,0.11946080856025218,0.1169582213461399,0.07150306455790996,0.12152299098670483,0.06498956797644495
2023-01-01 21:00:00,0.021216670386493205,0.07839924581348895,0.014388366639614104,0.1689759067818522,0.02104703757911921
2023-01-01 22:00:00,0.001884140074253082,0.010409031808376313,0.029485135171562434,0.3503881472349166,0.03699084877967834
2023-01-01 23:00:00,0.06157851316034794,0.009998596869409085,0.12339398209005592,0.22566716559231279,0.12339343741536138
2023-01-02 00:00:00,0.12945782154798507,0.11611672431230545,0.11283494185656308,0.2102659199386835,0.09552197717130184
2023-01-02 01:00:00,0.12723399892449377,0.13265484854578968,0.125301563963294,0.19033353179693221,0.1197287257015705
2023-01-02 02:00:00,0.12563664667308327,0.1495377968251705,0.11275660850107669,0.22841898389160628,0.10845076497644185
2023-01-02 03:00:00,0.10955179847776889,0.12413440719246863,0.15482322972267865,0.3096004407852888,0.16404330678284165
2023-01-02 04:00:00,0.27622321620583534,0.3266448704898357,0.3293120887875557,0.44447862803936,0.3320444548130035
2023-01-02 05:00:00,0.4923054730892181,0.5341231679916381,0.5526451779901981,0.5010726357996463,0.5335433363914489
2023-01-02 06:00:00,0.7510397104918956,0.7759096419811249,0.7073401173949241,0.4071642634272575,0.651456178203225
2023-01-02 07:00:00,0.7617683334648608,0.8028022176027297,0.6239399863779544,0.3369464140385389,0.545266499519348
2023-01-02 08:00:00,0.7545887580513952,0.8358638249337673,0.632818599268794,0.4195605027675628,0.558481559753418
2023-01-02 09:00:00,0.8015182599425315,0.8538919632136821,0.6942279125005005,0.48824823558330527,0.6266080981492995
2023-01-02 10:00:00,0.8128271573781967,0.8548275859653949,0.687097688242793,0.5281054955720901,0.6157637825608252
2023-01-02 11:00:00,0.8371017517149448,0.8533978602290153,0.7283025855571031,0.6067903859913348,0.6611321242898701
2023-01-02 12:00:00,0.8307877294719219,0.8402426032721997,0.7583121149241923,0.6148221115022897,0.6877484510093926
2023-01-02 13:00:00,0.8401116386055946,0.8322652792930603,0.7186816117167472,0.4599010610580444,0.6325809086114167
2023-01-02 14:00:00,0.7932002215087414,0.7447792930901049,0.602422917112708,0.3032644402980804,0.5039628851413727
2023-01-02 15:00:00,0.7180611154437064,0.6655662520229815,0.5214410267025231,0.19268462803214786,0.42363464653491967
2023-01-02 16:00:00,0.4540904283523559,0.3966664159297943,0.2876875705271959,0.07838850833475589,0.21341233208775517
2023-01-02 17:00:00,0.24687800556421274,0.22741581559181212,0.1493732199817896,0.03544057048857212,0.10546482589095829
2023-01-02 18:00:00,0.20296982049942014,0.1941189350187778,0.11508409228175878,0.025763990953564644,0.08025013443082571
2023-01-02 19:00:00,0.13457149282097813,0.12333689749240875,0.06065330069512128,0.009294619597494601,0.03400207431986928
2023-01-02 20:00:00,0.055673356726765634,0.07278091594576835,0.018190404884517196,0.0002904278971254825,0.004965995717793703
2023-01-02 21:00:00,0.031010023504495624,0.06228273667395115,0.007539131268858908,0.0,0.0017830841057002544
2023-01-02 22:00:00,0.027558022141456605,0.0389597287774086,0.008004952184855937,0.00047571966424584387,0.002454724349081516
2023-01-02 23:00:00,0.024194734394550325,0.033024426698684696,0.008246638793498278,0.0008652752637863158,0.0035095399059355253
2023-01-03 00:00:00,0.014203064888715745,0.018346855193376543,0.0036665253713727,0.0,0.0013879125006496906
2023-01-03 01:00:00,0.004500520899891853,0.0059732006862759585,0.0014384724013507364,0.0,4.1266009211540216e-05
2023-01-03 02:00:00,0.002667323723435402,0.0037876313552260396,0.0010303324460983277,0.0,0.00014420825988054276
2023-01-03 03:00:00,0.0031438449397683138,0.0015702872350811957,0.0001933017186820507,0.0,0.0
2023-01-03 04:00:00,0.0002192379906773567,0.0,0.0,0.000670445840805769,0.0
2023-01-03 05:00:00,0.0,0.0,0.0023745310120284555,0.018531019613146783,0.010137582123279573
2023-01-03 06:00:00,0.015364873670041562,0.0007820655032992362,0.06886651892215014,0.09207566760480403,0.08053673937916755
2023-01-03 07:00:00,0.12991503983736036,0.04213317215442658,0.21140305578708646,0.17383068084716796,0.20654158391058441
2023-01-03 08:00:00,0.2571042165160179,0.1891159591078758,0.3353383413702249,0.23976018719375133,0.31669341102242465
2023-01-03 09:00:00,0.2438685810565948,0.3125958994030952,0.3079072587192058,0.23361600629985332,0.30822674989700316
2023-01-03 10:00:00,0.17902559131383894,0.2756228095293045,0.27014173634350297,0.2142093685269356,0.282773877158761
2023-01-03 11:00:00,0.24544360965490336,0.3682537460327148,0.3907137570530176,0.36782912045717236,0.39617869548499585
2023-01-03 12:00:00,0.23781700402498243,0.34445667266845703,0.37978881530463693,0.38938203483819955,0.3922220664471388
2023-01-03 13:00:00,0.20968327641487117,0.2913582269847393,0.3558386928588152,0.34765722297132007,0.37378983736038207
2023-01-03 14:00:00,0.1853353981673717,0.24125427976250646,0.3168683280795812,0.30729491714388124,0.330694310888648
2023-01-03 15:00:00,0.10071778632700443,0.09119844049215317,0.1833530832082033,0.22449437718838447,0.20295440107583995
2023-01-03 16:00:00,0.26072078108787533,0.09979128897190094,0.35055222287774085,0.38774040192365644,0.35981708474457264
2023-01-03 17:00:00,0.3254290877282619,0.22526053726673123,0.4215315026044846,0.47865551173686977,0.44176594674587244
2023-01-03 18:00:00,0.43646429538726805,0.41256252288818357,0.6470937194675206,0.8031700440496206,0.682437635809183
2023-01-03 19:00:00,0.5583097195625304,0.5155450129508972,0.7467373093962669,0.8366871666163206,0.7515452151000498
2023-01-03 20:00:00,0.5826007248461247,0.4465811038017272,0.8048413658887147,0.8091771284490823,0.7917013531923293
2023-01-03 21:00:00,0.6995289480686188,0.4119958123564719,0.8976686267554759,0.8433557029813528,0.8880041926354169
2023-01-03 22:00:00,0.5808790299296378,0.4323772896826267,0.8624705100059508,0.781430490836501,0.8956911796331406
2023-01-03 23:00:00,0.5883700607717037,0.4954939511418342,0.813834056481719,0.7701619125902652,0.8412750114500522
2023-01-04 00:00:00,0.6264894483983516,0.5410300196707247,0.8218996471166611,0.7609962534159421,0.8339501781761646
2023-01-04 01:00:00,0.5027983570098876,0.49467507481575,0.7719215869158506,0.8641957314312457,0.819196694418788
2023-01-04 02:00:00,0.4614896571636199,0.2865308164060115,0.7387024272978305,0.904071231484413,0.7748552394658327
2023-01-04 03:00:00,0.4111925999820232,0.2616445569694042,0.716344881132245,0.7496585266292095,0.736400834992528
