time,MountWaddington_1,Skeena-QueenCharlotte_1,Kitimat-Stikine_1,Bulkley-Nechako_1,Columbia-Shuswap_1,Thompson-Nicola_1,Cariboo_1,Thompson-Nicola_2
2023-01-01 00:00:00,0.02119555993676186,0.9709902443445246,0.5729628715989454,0.20928832059933078,0.1312976718287576,0.12132033877752038,0.06016926734623584,0.03233371803480567
2023-01-01 01:00:00,0.07185687316954134,0.9707821953296663,0.5915254112868239,0.21024221237748858,0.14618817252191627,0.10927195508823251,0.059116243799640374,0.02894043577891408
2023-01-01 02:00:00,0.1311337168574333,0.9857773942791898,0.6185688637553806,0.21323198476185393,0.13394806719300423,0.08373865659941324,0.0638702850975096,0.0216054462573745
2023-01-01 03:00:00,0.1771781408071518,0.9921530606824419,0.6420710317034956,0.20800631815636594,0.1309295797415755,0.1056512722869714,0.06810726873068645,0.027728081271052363
2023-01-01 04:00:00,0.26234886444807054,0.9992763443615126,0.6553672320511139,0.23727287109803274,0.1695430158552798,0.10111091350064136,0.08564169220287689,0.027708599705136186
2023-01-01 05:00:00,0.39668349112272255,0.9995153535189836,0.6502007885235296,0.23616624958951166,0.17243237012489274,0.08212190055937474,0.1115798569216647,0.02088290002761465
2023-01-01 06:00:00,0.6109968412756919,0.998944239538649,0.6246115427915477,0.23918570456129534,0.18350065044720065,0.08988689522174273,0.13282346021722666,0.01854666816240008
2023-01-01 07:00:00,0.7887247735738753,0.9994760219947152,0.6512173853667689,0.23701858851644725,0.1671263179691,0.08033418782506925,0.12550036741589962,0.014672050324804854
2023-01-01 08:00:00,0.7661448895096779,1.0,0.6947079631077572,0.23820166536227425,0.13370455306362022,0.08407199446224806,0.1569176031716845,0.016973640022404264
2023-01-01 09:00:00,0.8209418497920035,0.9565217391304348,0.6984603679369032,0.2397950861837577,0.11872713141143319,0.10609180954143857,0.21401709153570916,0.019644239366506083
2023-01-01 10:00:00,0.9611849413514137,0.7822644354467806,0.724926184012856,0.24468028289162452,0.10558426359837704,0.12941629971518656,0.23782824327491892,0.02299529595582774
2023-01-01 11:00:00,0.9968322049379349,0.8254891012285066,0.7301794519684682,0.2567682475596666,0.12488706335764035,0.14710652667690408,0.2345030572502451,0.024953914086023963
2023-01-01 12:00:00,0.9986910255670547,0.8248706503795541,0.7295278136453158,0.25621936755323854,0.09412864125587722,0.1499024111393726,0.2107493733682415,0.023774402274778398
2023-01-01 13:00:00,0.9741194462537766,0.604712052150913,0.6891622567460154,0.2644007082228306,0.11071277054196055,0.07700026117716774,0.14328104261816899,0.01353060129917029
2023-01-01 14:00:00,0.9776475879192355,0.4782608695652174,0.7044261730546264,0.2557120511170338,0.10737586557187816,0.054968834639047136,0.13416615853594108,0.009593355809197282
2023-01-01 15:00:00,0.967927895128727,0.43478260869565216,0.7316212715040631,0.24214954314546447,0.07003303101794287,0.0560837878828699,0.19001270777969195,0.011157897426323459
2023-01-01 16:00:00,0.9981568558812142,0.34782608695652173,0.7356259474515073,0.33738457757151785,0.04187553699043664,0.1192019634919636,0.3080888324298642,0.025161098095052167
2023-01-01 17:00:00,0.9997874023199081,0.2608695652173913,0.752372911421346,0.4029026473092813,0.04243982942944222,0.19107039055363692,0.4233965498716992,0.03280034800596309
2023-01-01 18:00:00,0.9978590318441392,0.2608695652173913,0.7745950057074217,0.41252495945603757,0.043976110446859486,0.23068443959861087,0.5568995615027167,0.03341011288942713
2023-01-01 19:00:00,0.9943021443009377,0.2608695652173913,0.7787073292887547,0.40428323101666236,0.033096358898011116,0.31106313936186547,0.677901694679802,0.042852151285518295
2023-01-01 20:00:00,1.0,0.21739130434782608,0.7687353052198886,0.4185252053318199,0.029686425406147136,0.36473496633948704,0.7238371089236302,0.051407789529272975
2023-01-01 21:00:00,1.0,0.2608695652173913,0.7922400949076865,0.44472959278910246,0.03481167295439677,0.39799708244023885,0.7491639466922391,0.058180955388780806
2023-01-01 22:00:00,0.96,0.34724521906479544,0.7824038336058736,0.4661479234502272,0.04176366291940212,0.4152432647053943,0.7709148231284183,0.06441634011087996
2023-01-01 23:00:00,0.96,0.42876157526088793,0.7279002862392177,0.4833958597936564,0.0628197277134115,0.43973490224191625,0.815595825402574,0.0757730634894335
2023-01-02 00:00:00,0.96,0.30051029517598776,0.6939321672402217,0.47613029039016475,0.07956311890686099,0.45390218082250966,0.8566161482781172,0.08342720507220787
2023-01-02 01:00:00,0.96,0.2608695652173913,0.6692732821467896,0.44607690509270737,0.07625712723894551,0.47921230557289984,0.8695624678785151,0.0954018972497998
2023-01-02 02:00:00,1.0,0.30434782608695654,0.6836333048081313,0.3941772557063787,0.0808183948153799,0.5268454323573546,0.8448984143476594,0.12047821882999303
2023-01-02 03:00:00,1.0,0.6820426306905955,0.6630291578761289,0.3569451701751461,0.15825426879592916,0.5530628433281723,0.8440352194891733,0.1363684107724464
2023-01-02 04:00:00,1.0,0.9706903891200603,0.6121148126845208,0.3533305914713829,0.1910933810845017,0.5302380105356376,0.8502000868117267,0.11939306040153358
2023-01-02 05:00:00,1.0,0.9786441605505736,0.5940736703343795,0.31130980457972596,0.22036834162744603,0.5508912641938888,0.87235648273067,0.12158597330026555
2023-01-02 06:00:00,0.999366705918312,0.9852942228705988,0.595789910572725,0.25922805697139756,0.21821967359970917,0.5719150359657678,0.8680897194892168,0.13628471166347014
2023-01-02 07:00:00,0.998034302854538,0.9901557276041612,0.5892327623552,0.21087712890434038,0.1999607665701346,0.5776601289212705,0.8424851437048477,0.14697096402897977
