class,description,color
1,flat (0-0.5%),#eeefedff
2,flat (0.5-2%),#e2dfe3ff
3,low slope (2-5%),#d1cdc3ff
4,low slope (5-8%),#bdb19bff
5,moderate slope (8-16%),#b09c79ff
6,moderate slope (16-30%),#917544ff
7,high slope (30-45%),#86652cff
8,high slope (>45%),#452001ff
9,Water,#6bb5eaff
