cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank,Operational_life,resource_type
CentralOkanagan_1,46.61847051269788,1.56455696742041,0.040427360681422796,0.0,0.3309341049437245,1,4552.456592635488,CentralOkanagan,BC_BDM_ISS,7.6656893303815306,1,20,wind
Fraser-FortGeorge_1,65.10411066314028,1.56455696742041,0.040427360681422796,0.0,0.2940662463351952,1,10447.543407364512,Fraser-FortGeorge,BC_KDS_DSS,60.20600276169106,2,20,wind
