cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank,Operational_life,resource_type
DivisionNo.4_1,36.4418086551927,1.56455696742041,0.040427360681422796,0.0,0.46542018653927464,1,11810.800391551931,DivisionNo.4,AB_774S_DSS,36.24966046844382,1,20,wind
DivisionNo.4_2,38.26737336491817,1.56455696742041,0.040427360681422796,0.0,0.4418643626083506,2,3189.199608448069,DivisionNo.4,AB_776S_DSS,25.75519767520506,3,20,wind
