cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank,Operational_life,resource_type
DivisionNo.4_1,36.244003525346415,1.56455696742041,0.040427360681422796,0.0,0.46542018653927464,1,12344.68412797475,DivisionNo.4,AB_771S_DSS,13.312040002445551,1,20,wind
DivisionNo.3_1,37.67554659434587,1.56455696742041,0.040427360681422796,0.0,0.4518742552830379,1,12365.452302241874,DivisionNo.3,AB_313S_GSS,21.246125608206288,2,20,wind
DivisionNo.4_2,38.14183711377859,1.56455696742041,0.040427360681422796,0.0,0.4424838797984279,2,11514.298927952834,DivisionNo.4,AB_776S_DSS,25.75519767520506,3,20,wind
DivisionNo.4_4,44.29089126768238,1.56455696742041,0.040427360681422796,0.0,0.3790776017485138,4,13775.56464183054,DivisionNo.4,AB_230S_DSS,18.3503273034797,8,20,wind
