cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank
Capital_1,2.4990681756187176,3.209402094837186,0.09052719999999999,0,0.18051193989646624,1,6.928866841079052,Capital,BC_GTP_DSS,0.0,1
Nanaimo_1,3.490100164151484,3.209402094837186,0.09052719999999999,0,0.10804858353423574,1,550.3672356296768,Nanaimo,BC_HMC_ISS,0.0,2
GreaterVancouver_1,3.770235971606758,3.209402094837186,0.09052719999999999,0,0.11888241532969088,1,115.44805215270242,GreaterVancouver,BC_STV_DSS,0.8436942799999754,3
MountWaddington_1,4.498983221849244,3.209402094837186,0.09052719999999999,0,0.2622127683810273,1,1924.3049784982086,MountWaddington,BC_CSS_GSS,0.0,4
PeaceRiver_1,5.611615983732927,3.209402094837186,0.09052719999999999,0,0.16835061827536987,1,61386.37276833065,PeaceRiver,BC_NL2_ISS,0.0,5
Comox-Strathcona_1,6.584590992124654,3.209402094837186,0.09052719999999999,0,0.25365737332516947,1,64.43368449057056,Comox-Strathcona,BC_CMH_ISS,0.0,6
CowichanValley_1,6.932022708604165,3.209402094837186,0.09052719999999999,0,0.079619346876993,1,1174.909844758638,CowichanValley,BC_SHA_DSS,2.599767279999739,7
Fraser-FortGeorge_1,7.090436661786298,3.209402094837186,0.09052719999999999,0,0.1283556225410471,1,39764.63210045541,Fraser-FortGeorge,BC_NOS_ISS,0.0,8
Skeena-QueenCharlotte_1,7.123802440348178,3.209402094837186,0.09052719999999999,0,0.3214746600963931,1,18.379160904099678,Skeena-QueenCharlotte,BC_PRT_ISS,2.187549320001146,9
Alberni-Clayoquot_1,7.209489875000079,3.209402094837186,0.09052719999999999,0,0.2762626023581209,1,115.32233793021797,Alberni-Clayoquot,BC_LBH_DSS,0.0,10
SunshineCoast_1,7.353209214214902,3.209402094837186,0.09052719999999999,0,0.08223287756200398,1,77.19819564312488,SunshineCoast,BC_PHR_DSS,1.678705599999726,11
Nanaimo_2,9.097977117304897,3.209402094837186,0.09052719999999999,0,0.0594640272096263,2,619.9437909837611,Nanaimo,BC_DMR_DSS,5.184729000000473,12
Bulkley-Nechako_1,9.17440203947882,3.209402094837186,0.09052719999999999,0,0.10651093236409438,1,46259.92670087972,Bulkley-Nechako,BC_VDF_DSS,0.0,13
Thompson-Nicola_1,10.480170442366694,3.209402094837186,0.09052719999999999,0,0.06904737763557986,1,10647.64371686998,Thompson-Nicola,BC_SMH_DSS,0.0,14
Cariboo_1,10.587554788427644,3.209402094837186,0.09052719999999999,0,0.1254107659937292,1,30828.61173509544,Cariboo,BC_HMH_DSS,0.0,15
Okanagan-Similkameen_1,11.579586054533303,3.209402094837186,0.09052719999999999,0,0.05377796405880737,1,5191.934972312009,Okanagan-Similkameen,BC_PRI_DSS,0.0,16
Alberni-Clayoquot_2,12.27431429008807,3.209402094837186,0.09052719999999999,0,0.11568919087846903,2,178.4062146804841,Alberni-Clayoquot,BC_CNK_GSS,6.216790702259316,17
PowellRiver_1,12.383486441921482,3.209402094837186,0.09052719999999999,0,0.09428605315657694,1,495.43752032444525,PowellRiver,BC_GPT_DSS,0.0,18
