time,DivisionNo.7_1,DivisionNo.10_1,DivisionNo.7_2,DivisionNo.1_1,DivisionNo.4_1,DivisionNo.2_1,DivisionNo.3_1,DivisionNo.11_1,DivisionNo.12_1,DivisionNo.5_1,DivisionNo.8_1,DivisionNo.19_1,DivisionNo.13_1,DivisionNo.8_2,DivisionNo.11_2,DivisionNo.2_2,DivisionNo.6_1,DivisionNo.4_2,DivisionNo.10_2,DivisionNo.3_2,DivisionNo.6_2,DivisionNo.5_2,DivisionNo.17_1,DivisionNo.18_1,DivisionNo.14_1,DivisionNo.12_2,DivisionNo.13_2,DivisionNo.1_2,DivisionNo.16_1,DivisionNo.9_1,DivisionNo.19_2,DivisionNo.8_3,DivisionNo.12_3,DivisionNo.7_4,DivisionNo.2_4,DivisionNo.7_3,DivisionNo.3_3,DivisionNo.11_3,DivisionNo.11_4,DivisionNo.2_3,DivisionNo.18_2,DivisionNo.15_1,DivisionNo.4_4,DivisionNo.4_3,DivisionNo.10_4,DivisionNo.10_3,DivisionNo.5_4,DivisionNo.5_3,DivisionNo.17_2,DivisionNo.14_2,DivisionNo.12_4,DivisionNo.6_4,DivisionNo.6_3,DivisionNo.8_4,DivisionNo.1_4,DivisionNo.13_4,DivisionNo.13_3,DivisionNo.19_4,DivisionNo.19_3,DivisionNo.1_3,DivisionNo.3_4,DivisionNo.17_3,DivisionNo.18_4,DivisionNo.18_3,DivisionNo.15_2,DivisionNo.16_2,DivisionNo.9_3,DivisionNo.14_3,DivisionNo.9_2,DivisionNo.17_5,DivisionNo.17_4,DivisionNo.15_3,DivisionNo.16_4,DivisionNo.16_3,DivisionNo.15_4
2023-01-01 14:00:00,0.09360844412446022,0.11252555919920694,0.09695504978299141,0.003854911794265112,0.07569233490154147,0.16900193555546655,0.31618429850448265,0.14819451482168264,0.07021512077554413,0.03391643421458347,0.09067673314362763,0.43271709829568855,0.14199125458796819,0.09652675483375786,0.18711576272334368,0.0625199260296566,0.13443720230460168,0.07131779732182622,0.09480304822325707,0.1833786086060784,0.1658534447699785,0.06390421992966107,0.21031602432635033,0.2677423766131202,0.11892368246118228,0.08912194582431213,0.1573889031083811,0.03106381954749425,0.11900674554544524,0.12416308116581705,0.4500435133112802,0.10692671287804843,0.09384532469770182,0.07159785090883572,0.17617064474416627,0.07198848489671944,0.3584565762633627,0.15310450206200282,0.15087414754288536,0.2068104070644168,0.31177402437975005,0.10108751591295001,0.03454566741362214,0.03538207272396368,0.0812708898852853,0.08118907282501457,0.07372862278882945,0.07525187726318835,0.2034937580302358,0.08951402931908767,0.09154613948386647,0.1109259049296379,0.10462358596424261,0.14146918924525378,0.18354852838317554,0.12721251572171846,0.1257615063610402,0.2935905217296547,0.2856059152672165,0.1864729753219419,0.11557280442931436,0.18474701056010878,0.3108767714475591,0.3051309589010018,0.06763385053437489,0.07932132962889767,0.04432756721145577,0.12375623627752064,0.04004268241301179,0.17179218368780505,0.16942671202192155,0.032964337786229765,0.07625366568968102,0.07540637748021826,0.004744565647382003
2023-01-01 15:00:00,0.09340326171120007,0.13328499456538873,0.10280203128854434,0.005729271178444227,0.0685273391660303,0.17807408220533813,0.3101901702718301,0.2072183410504034,0.06299086752145187,0.03817139605326312,0.13589316230267284,0.4741400478780269,0.17214038693479128,0.14314705880358813,0.20510333833949904,0.06510300340397017,0.16679792580008504,0.06395831015892327,0.0962835648831199,0.18555924464355816,0.18283294183015822,0.06883312334971768,0.24171520886837314,0.30846718144292634,0.1396595366398493,0.08315978192764778,0.1886113728157111,0.038675963893532755,0.12547216332542732,0.13550579308635655,0.4869865963028536,0.1481748394668102,0.09411794127977414,0.07560244648655257,0.17948642559349537,0.07965696350671352,0.363849511959336,0.18706270140409467,0.18513454673545698,0.20848043412846676,0.35357832179715226,0.10478124892482389,0.027395561607554558,0.028070101676618355,0.09099074222585733,0.08688249174505472,0.07848570832716566,0.07907449994981289,0.2351894322353995,0.10521393531560896,0.0935940572651832,0.12363717657327651,0.11578647353996833,0.17589649792760606,0.19519091427822902,0.15389993246112546,0.15132490738549012,0.30990891925162734,0.3055116235111889,0.2037957557414968,0.12730872609398577,0.21069125179060794,0.33729872465133665,0.32977366999937935,0.07455318945818222,0.08336213905062224,0.047265252466830936,0.1482104621554414,0.04276896468177437,0.19506425734328203,0.19233789135943397,0.04033897328548707,0.07857071719459582,0.07776202711619826,0.00566143601273115
2023-01-01 16:00:00,0.09183510072032611,0.14971935729770097,0.1259584992726644,0.011148331388831137,0.0658057959843427,0.18413940739418774,0.30769504091956396,0.2719601388488497,0.0623667658249969,0.047071900442242624,0.19582276269793505,0.5000664731197886,0.2130061880392687,0.18986256629228587,0.23534600655947413,0.06733428346791437,0.1948777602016925,0.0666769952699542,0.10253003630567999,0.1848586631227623,0.18855293577909465,0.07019390403160027,0.24952548139851605,0.3362982976436615,0.1574173356344302,0.0836731650583122,0.2252091955996695,0.047802406897147494,0.13208733177164922,0.13090510956943033,0.5121778238481945,0.18380177130922676,0.10129006397464999,0.0955621791978677,0.184564405434898,0.10398279509507119,0.37535157592459156,0.2111774150431156,0.21136931999453476,0.21247427569592703,0.38646103727320824,0.10424470398288505,0.02833626277279109,0.028241777363068918,0.1094428737198605,0.09963769311457871,0.10861204648124319,0.1083250654786825,0.2487319634158937,0.12120278085271519,0.1030088172626236,0.13865439836680887,0.1276216526205341,0.20419501956552266,0.20754578991234301,0.1812226248922802,0.17817613067952065,0.3593099411825339,0.3527869102515672,0.21734635029815966,0.12343786532228643,0.21975543105377343,0.3756317697713773,0.36577281169020215,0.07887827617904317,0.08587531930892854,0.05034404563407104,0.15953781344244874,0.04557989084720612,0.20789718137526855,0.20503681137261023,0.04098353374462861,0.07344004622283014,0.07291365556516931,0.005473455749452115
2023-01-01 17:00:00,0.13036900135874746,0.2419056638374048,0.19160068607330316,0.010846727862954141,0.07951905041467398,0.14883875209838152,0.2505567058514465,0.397560883121831,0.11343798759190936,0.047808060230953346,0.2319243754446506,0.4256037967569298,0.265659921949818,0.19133934978395697,0.2566333388856479,0.05820389057376555,0.18161530813574792,0.08312249982729553,0.19674418611561553,0.137538770288229,0.15084459860622884,0.06131692744791507,0.2657884511351585,0.3362010863050818,0.1699411617368459,0.13309243556597963,0.26792732431775046,0.0394307169963916,0.12904658960228826,0.13195757044686213,0.4428374645445083,0.19902955960482355,0.14360145970531127,0.15368004020055132,0.1568981216581804,0.16532674476504322,0.3361254246939312,0.22666309642791743,0.22948891443865632,0.18080147681429104,0.3770681692659854,0.08724770027284437,0.04229549169540406,0.042060548750793236,0.19874861124683824,0.18222024701535694,0.12038932119097026,0.12299640136957167,0.25956564125868514,0.13109824320177238,0.13440830995207245,0.13321791511774062,0.11827325474470853,0.2144059722870588,0.1719936072130998,0.20336472961164653,0.19990440795367412,0.27472595592339827,0.2702787008724714,0.1741484870099359,0.08705087382685055,0.24435522492904704,0.3496655146032572,0.3399335124974068,0.08413892117543863,0.09172275154473812,0.06419501716891923,0.16290809862315656,0.058048992943018664,0.2632198208176864,0.2602278685762926,0.04067289646428365,0.1181803865539464,0.11774549216522198,0.006456628937560779
2023-01-01 18:00:00,0.16731274490555126,0.2954704179307993,0.2267520028551419,0.012714012111226719,0.08342848184518516,0.13266655877764735,0.24477963054722005,0.3768097221212727,0.1392771537925886,0.045692110514002175,0.20957815360277884,0.44281096095840133,0.30602132846911745,0.1719858108833432,0.2511419338200774,0.05406881517597606,0.1852916000783443,0.08907056911848485,0.2601930389684789,0.13087608103047718,0.1458572584092617,0.06488324076469457,0.2787144146030241,0.3601392193138599,0.2162560992290576,0.16010722254281456,0.2983718392394836,0.03626260528465111,0.13682360652632813,0.12596526145107217,0.45369235065248265,0.177119282707572,0.16227848169596298,0.17343350103497507,0.1443891950324178,0.1837222994398326,0.3208156683905558,0.2156017789741357,0.21938626339393003,0.16467938801383272,0.40435196634382004,0.09202999579218717,0.05171943269204349,0.051686903023544485,0.23951545660110074,0.2199513401910662,0.12430835061307463,0.12714090044796464,0.2706303061263742,0.17896936728060248,0.15506205965643344,0.1342453678399324,0.12031255272527534,0.19193998482078312,0.16597903696695962,0.2471426643005439,0.2438879589533264,0.29529527732067634,0.2928760410609998,0.16653969969186516,0.08633252650499343,0.2630736633102005,0.38475614810983333,0.3728544751612039,0.09848490530768264,0.1037715523226841,0.0909103446950515,0.1883627518142262,0.0821372033841908,0.25890839937863475,0.2562760688695642,0.050111019766101474,0.12582495387140158,0.12558646960870215,0.0069371404842688495
2023-01-01 19:00:00,0.19893432204922037,0.3479962670101839,0.242595946530501,0.010087119226654373,0.0842882805177942,0.11990380323891126,0.23622351976958186,0.41503056400588584,0.18295128513937406,0.0547921479174069,0.20106453239917751,0.46408461524380573,0.3415779667808896,0.1549068772047758,0.29554400343980103,0.04972164438771349,0.1661648290455341,0.08717005664482712,0.3271668266548829,0.1309424868767912,0.1383908422887325,0.0721780302854521,0.2713679647811179,0.3725509777789315,0.24081555020809164,0.20373308220635286,0.33249668853623526,0.02834818812211354,0.15008959233156727,0.1533006378263235,0.46995039625300294,0.1720817847549915,0.20332913108493966,0.18613509933153782,0.12690654759960512,0.19569577984511846,0.29276572982018634,0.23269079212347663,0.23673472557749067,0.1361954328330124,0.42141443354388075,0.0924033814181502,0.055021109124645584,0.05572793467079891,0.29128965872175544,0.2669466310441493,0.11436528782759392,0.11706634684403736,0.262585377083775,0.21488050096233677,0.19071842555118645,0.13994658693671228,0.12620027848829826,0.1980474057048559,0.12406729454298814,0.25799120983907153,0.25563830125060943,0.29730329929126625,0.2962340493578659,0.12303136657095617,0.08214879086071794,0.2565857682356014,0.3949629105006655,0.3826434225646349,0.11049822475474613,0.10799061796552424,0.10563592313892313,0.19317112471411627,0.09540558131039142,0.2560205554561513,0.25349435523635255,0.048584911485130965,0.12609254537200607,0.12592184006187476,0.006020612054719375
2023-01-01 20:00:00,0.24104743593931194,0.42485115443958965,0.2921613382498423,0.008050261323650679,0.08914744200650601,0.12201359243797402,0.22898950342427596,0.43734118427549085,0.2116325800315193,0.07213624934000629,0.21143810681998726,0.46654339818490875,0.3308428810323987,0.17034469898790117,0.29531718643648286,0.05205820707870381,0.1774138405025005,0.09122903313487768,0.4018832923910197,0.12940453025427728,0.14356842347979545,0.08136110318026372,0.27311350071627005,0.37079960147539776,0.23945485758781432,0.22463313772626542,0.3319499638960474,0.022754155909021693,0.14131991945609856,0.19076100731889403,0.46946050900552017,0.18994591072201722,0.2076615162647289,0.2182600548267364,0.10974614950695206,0.22814768247306344,0.26644904005256564,0.2439590624769528,0.24849081337451925,0.10941770735470685,0.4198850931972264,0.09732021477933114,0.059298340342938904,0.060176685259622685,0.36153706206994896,0.3308523101210594,0.11101757816970348,0.11525832757353781,0.25570241032554863,0.23793594767649962,0.18587061907934108,0.15979800412058826,0.1427031391859054,0.20617047548294065,0.07342816504836082,0.24362230174598234,0.24022270240566942,0.29086814332339495,0.29105213573104455,0.07018127769231795,0.08426311664960599,0.25242429813545825,0.40615875326097006,0.39429087850909966,0.12240649084059091,0.12497544271116316,0.12510849588447145,0.19957784222314753,0.11288392145931721,0.23522992114062014,0.23350316496565934,0.04901428936192621,0.1286994165665395,0.12904903949091312,0.005825859408539075
2023-01-01 21:00:00,0.33395141398906714,0.4780474281311035,0.363641494055589,0.00938805438578129,0.11699244623072444,0.12042830633265632,0.20969143377109004,0.421999512229647,0.22123595813046332,0.0960806074951376,0.2195302930474281,0.5038773535192012,0.3453027589690118,0.17688346717506642,0.27555885161672317,0.056444355717727115,0.220051489919424,0.11998180574737488,0.4586472870847758,0.12364824746142734,0.16662794297933575,0.09784796940428868,0.28456955039557424,0.3790106533343592,0.2409263956894477,0.22881633245426675,0.339216303669271,0.023734697972734767,0.16623743482739534,0.23205524080329468,0.5047083122862709,0.20298397589474912,0.20862220999987227,0.2625996320645014,0.10065392268555504,0.27099349718540905,0.2517559730329296,0.24540471645196277,0.25040451958775517,0.09428371756392366,0.4186921731258431,0.11061766539628687,0.07135724232066423,0.07248163124655976,0.3913118953038664,0.3583191121667623,0.12788566653217584,0.13347231024503703,0.2626224292111845,0.24304199637969331,0.1909558969347373,0.19554049682617186,0.17277514966825644,0.20339701730757948,0.03662630884349346,0.24714968777838203,0.2444288647716695,0.3187354970143901,0.32113162117569066,0.0330165817712744,0.09318800657310268,0.26501517237005934,0.4155303338915109,0.4038855148164125,0.12966596879924716,0.15611532964013716,0.1335440657701757,0.20044178401430449,0.12051195210590955,0.22000010499062964,0.2184843431337288,0.05077975722173086,0.12222671076051286,0.12264571744360421,0.006582164268654125
2023-01-01 22:00:00,0.3967147846420606,0.48846284978529986,0.37219171969095866,0.01634343198935191,0.1556043168203905,0.11585558230323452,0.1867296318845315,0.4191428869749818,0.23926043279792952,0.1054929588415793,0.20515602380037304,0.5408874008556206,0.3275145678718885,0.17483750503510234,0.24116234202470094,0.0614750386295574,0.25599770009517664,0.1529220293369144,0.4689990889149554,0.11607392395084552,0.2059820941984653,0.09860957258513994,0.2889680016350071,0.38420851250489546,0.23119535246491435,0.24597835161115808,0.32416991897991726,0.02956802887717883,0.19023828779322072,0.24850001172886957,0.5454569908645417,0.21041767328977581,0.22048636484405265,0.28294281520446135,0.10498516381319078,0.2883061886392533,0.24005223442207682,0.2293087855577469,0.23172596497195105,0.09747893023578558,0.41877974871546014,0.12347701648966622,0.09438137247227131,0.09734244505272191,0.40353227447060985,0.3694350169152022,0.1349372269000326,0.1406015917857488,0.2651765727111191,0.2301608634491761,0.19280682365531507,0.2165970000326633,0.19085377644747492,0.1974716334044933,0.023903230860829353,0.23068078415734425,0.22752553141929885,0.3478963229722446,0.349950787676008,0.020733230291969246,0.0963494885983792,0.2634589743136234,0.4082667586455741,0.3963933507754251,0.13114615253244455,0.18211591906442834,0.13966094529463183,0.18590961756060517,0.12596492009609933,0.1999441015270522,0.19891277977023972,0.048306451325233174,0.11912911677984775,0.11979026440825118,0.006255755705329088
2023-01-01 23:00:00,0.4045317084391911,0.49691879833445823,0.35639482541879014,0.02811758415897687,0.1821807014010846,0.10919885284134319,0.16124868978153575,0.4347015630986009,0.24946812579165328,0.09123048962226936,0.20324278041720387,0.5367858304248915,0.3208598286906878,0.18532132267951965,0.23331806288233822,0.05924831975251436,0.29974387797713276,0.17108819156885147,0.4784902866622981,0.10374490198763935,0.25727849528193475,0.09415385676281793,0.3024218553613942,0.39362853327145175,0.24868641635775562,0.2539898732304573,0.3273759442000162,0.0371680966168642,0.20170334741875925,0.2267571055971914,0.5433861104647317,0.20782783925533294,0.22303576659897098,0.2870251032511393,0.11016462824174336,0.2909271359443664,0.23362631491639396,0.20636596615115801,0.20979890498731815,0.10597076242460923,0.4268501751621563,0.13549136651250032,0.11414613239001482,0.11845770183293258,0.4179517628515467,0.38422249779105183,0.14317631877958772,0.14816236240665115,0.27140560177558987,0.24152211058139805,0.18737168103456497,0.23838644306361675,0.20881637678792078,0.17764596085995432,0.02951930217941602,0.22780093515203112,0.2234524961357767,0.35329184989134466,0.3542126779179824,0.02557588371551699,0.10316360661251976,0.2659983597836404,0.4048935400446256,0.39336040206826645,0.1343833211236275,0.21558200016819146,0.14460103538301255,0.18360245816409587,0.13038936106860638,0.18224496615312566,0.1814406410252882,0.04786742582630653,0.12456236575906333,0.12493734058776962,0.005569990457823645
