cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank,Operational_life,resource_type
LeHaut-Richelieu_1,8054595.384289003,1.56455696742041,0.0,0.0404,0.408399139453389,1,301.83130925196156,LeHaut-Richelieu,QC_SSB_DSS,4.983343972123613,34,20,wind
LeGranit_1,8751523.895054324,1.56455696742041,0.0,0.0404,0.3694121771597529,1,771.1081302150474,LeGranit,QC_MEG_DSS,30.799864584653264,35,20,wind
Montmagny_1,8944473.021192428,1.56455696742041,0.0,0.0404,0.3138422154162073,1,773.4961042489931,Montmagny,QC_MNM_DSS,18.250543467346365,36,20,wind
LaCôte-de-Beaupré_1,8944473.933548639,1.56455696742041,0.0,0.0404,0.34781344327340624,1,1702.497193408553,LaCôte-de-Beaupré,QC_LEF_DSS,39.318411553751666,37,20,wind
L'Islet_1,8944474.751643548,1.56455696742041,0.0,0.0404,0.33066754441945906,1,586.0324185103678,L'Islet,QC_DAQ_DSS,41.78448805509115,38,20,wind
Vaudreuil-Soulanges_2,9260394.655961344,1.56455696742041,0.0,0.0404,0.4217872852407412,2,229.21697383900243,Vaudreuil-Soulanges,QC_LCS_GSS,3.902230466132229,39,20,wind
LeFjord-du-Saguenay_1,9394516.355954645,1.56455696742041,0.0,0.0404,0.37896182533801226,1,5684.57559947246,LeFjord-du-Saguenay,QC_CDP_DSS,111.19071567911372,40,20,wind
Communauté-Urbaine-de-l'Outaouai_3,10337130.284195378,1.56455696742041,0.0,0.0404,0.2999566066802892,3,255.86856295807445,Communauté-Urbaine-de-l'Outaouai,QC_GAM_DSS,2.1888215579193933,41,20,wind
Mirabel_1,11833105.273849988,1.56455696742041,0.0,0.0404,0.33873823766402694,1,292.897765596723,Mirabel,QC_CHN_TSS,0.9212339004460055,42,20,wind
Thérèse-DeBlainville_1,11833105.588003196,1.56455696742041,0.0,0.0404,0.33873823766402694,1,292.897765596723,Thérèse-DeBlainville,QC_STO_DSS,3.7111666741672575,43,20,wind
Vaudreuil-Soulanges_3,11833105.64136414,1.5645569674204098,0.0,0.0404,0.33873823766402694,3,292.897765596723,Vaudreuil-Soulanges,QC_DRN_DSS,4.185054709059084,44,20,wind
Laval_1,11833105.812806757,1.56455696742041,0.0,0.0404,0.33873823766402694,1,292.897765596723,Laval,QC_PAT_DSS,5.707602822055764,45,20,wind
Vaudreuil-Soulanges_4,12079677.461296257,1.56455696742041,0.0,0.0404,0.4431967829507371,4,299.0012406082199,Vaudreuil-Soulanges,QC_SPL_DSS,3.0091611819238238,46,20,wind
Beauharnois-Salaberry_1,12079677.638785614,1.56455696742041,0.0,0.0404,0.4431967829507371,1,299.0012406082199,Beauharnois-Salaberry,QC_VLF_DSS,5.114460547740138,47,20,wind
LeHaut-Saint-Laurent_2,12079677.893748391,1.5645569674204098,0.0,0.0404,0.3925639405644228,2,931.4790348045726,LeHaut-Saint-Laurent,QC_ORM_DSS,6.296414463997079,48,20,wind
LesChutes-de-la-Chaudière_1,13317827.004172694,1.56455696742041,0.0,0.0404,0.32962799460106623,1,329.64825603132647,LesChutes-de-la-Chaudière,QC_ANH_DSS,10.125142389510666,49,20,wind
Coaticook_1,13593852.283437338,1.56455696742041,0.0,0.0404,0.2968946959680312,1,641.0944475620555,Coaticook,QC_CTK_DSS,28.407247710774353,50,20,wind
Rouyn-Noranda_1,13900893.76162966,1.56455696742041,0.0,0.0404,0.3397956513279836,1,1483.1186471595745,Rouyn-Noranda,QC_NDN_DSS,45.55886920650955,51,20,wind
