time,DivisionNo.3_1,DivisionNo.8_1,DivisionNo.7_1,DivisionNo.4_1,DivisionNo.9_1
2023-01-01 13:00:00,0.4829502979622167,0.38670122731815687,0.3454802253058082,0.4752855709642171,0.024981276392936704
2023-01-01 14:00:00,0.5183499749443109,0.3716916693340648,0.3561826094043882,0.475642688423395,0.053525427546013485
2023-01-01 15:00:00,0.5443238634046385,0.3536571252075109,0.36329771929665605,0.46759602810442447,0.11688100389458912
2023-01-01 16:00:00,0.44684831906767447,0.3264892038432034,0.31148354713854026,0.40615247911214825,0.17554540095004167
2023-01-01 17:00:00,0.42046663368449483,0.3548003582791848,0.32554727681373286,0.390817909091711,0.27154253883795304
2023-01-01 18:00:00,0.41752086960217527,0.4153798447955737,0.3583922478556632,0.3973769484013319,0.32726851398294615
2023-01-01 19:00:00,0.4031589683890343,0.402196758443659,0.36439467205813053,0.3730947693139314,0.39708742315118956
2023-01-01 20:00:00,0.3924476037831867,0.37940415748141015,0.3628307342529297,0.33742403899133205,0.4322001296823675
2023-01-01 21:00:00,0.37954359413946376,0.3647213381257924,0.369824464085855,0.30288000638782975,0.4154717343503778
2023-01-01 22:00:00,0.33832235252155973,0.38241919436238025,0.355388228312919,0.29404548616707327,0.33921935005621473
2023-01-01 23:00:00,0.28388849293484403,0.396434419371865,0.35014803215077045,0.2846671521514654,0.23130192344838918
2023-01-02 00:00:00,0.23832331335719892,0.3989263529940085,0.33912141081533936,0.26111566112935536,0.13045884201472455
2023-01-02 01:00:00,0.19673036804094032,0.39057450424541124,0.33422066051709026,0.2125989715829492,0.11226953423836013
2023-01-02 02:00:00,0.1726198478831964,0.3685866998813369,0.3367535064879217,0.1740366692468524,0.15134924482215534
2023-01-02 03:00:00,0.16602610170841217,0.35172306553883986,0.3480717222784695,0.1662943719252944,0.2109550372849811
2023-01-02 04:00:00,0.19930383677868282,0.4136033979329196,0.4257647591358737,0.21955317477136851,0.27277113968675787
2023-01-02 05:00:00,0.27692527453689014,0.40011508559638803,0.5093522832425016,0.23719836090505125,0.3138367476788434
2023-01-02 06:00:00,0.35858061064692104,0.43762508105147974,0.5738737660803293,0.2583731417357922,0.3280834519321268
2023-01-02 07:00:00,0.3847272352085393,0.5473611956563862,0.6411195837667113,0.29263665319979193,0.37286120230501346
2023-01-02 08:00:00,0.44236688470139224,0.6740239176425066,0.7696569486354525,0.37873241169750693,0.4357413468577645
2023-01-02 09:00:00,0.4942931477287236,0.645616387155923,0.7965318061332952,0.4126907157301902,0.5068784434957937
2023-01-02 10:00:00,0.5500680552335345,0.6339514686844564,0.8017851259520179,0.4338831086605787,0.585132220793854
2023-01-02 11:00:00,0.622987625949523,0.6206749744306911,0.8133949479774423,0.4500056044459343,0.6194362511147152
2023-01-02 12:00:00,0.7313601115871877,0.5694885997067799,0.8155329525784442,0.42930461667478087,0.6454966042258522
2023-01-02 13:00:00,0.809209059038583,0.5715445873954078,0.8004747577560574,0.4281377874612809,0.6598693961446934
2023-01-02 14:00:00,0.8168796294226365,0.6017523288997736,0.7611600001862174,0.4342087747454643,0.6228409864685752
2023-01-02 15:00:00,0.8372449431349248,0.6447499904307452,0.744278416021874,0.48883297747373583,0.5905488526821135
2023-01-02 16:00:00,0.8670460317590656,0.7747481301968748,0.7955546021147777,0.5923391594737766,0.5047337912429462
2023-01-02 17:00:00,0.8745299848738837,0.731008604439822,0.8115944679787283,0.6010680654048917,0.556113985560157
2023-01-02 18:00:00,0.8434930306848356,0.6601945681192657,0.7420708442361729,0.5502420879602431,0.5681962167674844
2023-01-02 19:00:00,0.7608722090370512,0.5546361552585255,0.6414199988779267,0.4434135376065969,0.5054613462361421
2023-01-02 20:00:00,0.6470272574529927,0.4137164733626626,0.5439298034969129,0.34066393539309503,0.4087624835697087
2023-01-02 21:00:00,0.5375224366959401,0.34398405503142954,0.47891003442438024,0.31431528702378275,0.3187021878361701
2023-01-02 22:00:00,0.4663766553997994,0.39252355773340564,0.48162018346159086,0.42077313365042207,0.2284946464408528
2023-01-02 23:00:00,0.4471025148560019,0.5070885513587432,0.4736385835471905,0.5655730973929167,0.15727755178104744
2023-01-03 00:00:00,0.42517285853624354,0.5341360511833971,0.4343854010418841,0.5366911469399929,0.15732434688643973
2023-01-03 01:00:00,0.34224027842283244,0.45734023468060925,0.3737926020904591,0.41568502153456216,0.21201956082474102
2023-01-03 02:00:00,0.2734588467110606,0.40610893401232623,0.34252614261288383,0.34448914161324495,0.20293861819939177
2023-01-03 03:00:00,0.2368645571347545,0.38934903860092157,0.3308866473091276,0.32427104580029836,0.16485379603776062
2023-01-03 04:00:00,0.23675804334528305,0.36570652582428664,0.3571467170746702,0.3071186041384935,0.21376457664099605
2023-01-03 05:00:00,0.2100355074335547,0.34301806875250557,0.30741211713928923,0.33301230865716924,0.19504570386626502
2023-01-03 06:00:00,0.20415163648479123,0.4108712520111691,0.3556492395306888,0.40686186134815217,0.18344063810326838
2023-01-03 07:00:00,0.2070008789002895,0.5317856763167813,0.46112236350774766,0.49857936103641975,0.2365735687179999
2023-01-03 08:00:00,0.24207978543989797,0.7412181458960879,0.6114093238429017,0.6458137243390081,0.32390010519461193
2023-01-03 09:00:00,0.2891507890250753,0.879976973073049,0.7099477536897908,0.7606396675407886,0.3572625425187024
2023-01-03 10:00:00,0.3359818944992387,0.9094810543006115,0.6962266370654104,0.8337055440247056,0.39234389725056557
2023-01-03 11:00:00,0.38497496454154745,0.9278893391923471,0.6399104510482988,0.8794008509218694,0.45641843904148444
2023-01-03 12:00:00,0.4421581679933211,0.9516660532355307,0.6391443231544995,0.8988805968761444,0.5298632713610475
2023-01-03 13:00:00,0.49647901827798174,0.9625416981090197,0.6717218313405386,0.9002074047476052,0.548611671897498
2023-01-03 14:00:00,0.48764310258276317,0.9725347251241857,0.7418362201828704,0.8814339479953051,0.5200420425425876
2023-01-03 15:00:00,0.4621080342987005,0.9867501381581479,0.8135013343472229,0.8592085241973401,0.4674768291278319
2023-01-03 16:00:00,0.4221015215445968,0.9888679377057337,0.8154651784426286,0.8333780742734671,0.49282730666073876
2023-01-03 17:00:00,0.4955853499910411,0.9898611574281346,0.8175242310919258,0.843370946124196,0.3979364360462535
2023-01-03 18:00:00,0.619704200362458,0.9953127014095131,0.8388554368364185,0.8792683530598879,0.27370831148190927
2023-01-03 19:00:00,0.6531127899008639,0.9955558634888042,0.8631017878024201,0.8931151297688485,0.16377622002905062
2023-01-03 20:00:00,0.66364313185215,0.9948247053406455,0.8644228540282498,0.8880411451160908,0.09847057643261824
2023-01-03 21:00:00,0.6981222326264661,0.9963773628256537,0.8489225771395782,0.8877853868752718,0.07176733187653801
2023-01-03 22:00:00,0.6741280728227951,0.993999934033914,0.8088625767983885,0.8879269793033598,0.07373241233554753
2023-01-03 23:00:00,0.6155148353471477,0.9894665009325202,0.7547341841772981,0.8812403907030818,0.11431420980529351
2023-01-04 00:00:00,0.5044345371337497,0.9907891781763598,0.6992524271889735,0.8278027533888815,0.15037820237604052
2023-01-04 01:00:00,0.3897376880225012,0.9887288565527309,0.6273462250828741,0.7710466412454843,0.15263168348507447
2023-01-04 02:00:00,0.2740767473333022,0.93064372330904,0.5402985961029403,0.6786654955595732,0.11114148913459343
2023-01-04 03:00:00,0.2367366373714279,0.8412853536822578,0.4696725204273274,0.6144874503314496,0.07857147233052687
2023-01-04 04:00:00,0.23756401671206248,0.7849406826496123,0.4528248116766152,0.5942235268652439,0.008444291177121076
2023-01-04 05:00:00,0.45023485911243105,0.9034592636065052,0.5718150215086183,0.7180293265134094,0.000982883179729635
2023-01-04 06:00:00,0.6316451565483036,0.9848191900144925,0.7670343241095542,0.8153844767957924,0.0014595275439999319
2023-01-04 07:00:00,0.6714374752605662,0.9941379730267957,0.8559475331871133,0.8376808766573667,0.00641374599527229
2023-01-04 08:00:00,0.6641793165662707,0.9929950662092728,0.8753960433759186,0.819165344133973,0.015798619477586314
2023-01-04 09:00:00,0.6546546896064983,0.9857863908464257,0.867330394167649,0.7866718751937151,0.02764471259984103
2023-01-04 10:00:00,0.6487106028374503,0.9803009969537908,0.8374014912153543,0.7839734611064193,0.05241162677380171
2023-01-04 11:00:00,0.6533064708814901,0.9797337766398081,0.8089470388701085,0.7577052310258149,0.09597057584334502
2023-01-04 12:00:00,0.6514346821693813,0.9472623220357028,0.8012416169204208,0.7397285222411155,0.14469996392726894
2023-01-04 13:00:00,0.6102564316111453,0.8929852513833478,0.7760093677828186,0.7061241457015275,0.16436046524481338
2023-01-04 14:00:00,0.5425397339287924,0.7687672021443194,0.7106055135946524,0.6134560374021529,0.15684762525964865
2023-01-04 15:00:00,0.4720298456269152,0.6224728437174448,0.6024129727482793,0.5302575843036175,0.14192110537128017
2023-01-04 16:00:00,0.5166081594193681,0.5907377312671055,0.5910048903760154,0.5377457877993582,0.04420420671051198
2023-01-04 17:00:00,0.5034376671910286,0.5442754266478798,0.5961876030344712,0.48264423498511305,0.025831431942907247
2023-01-04 18:00:00,0.5063788485001115,0.5483600408380681,0.5741858468087094,0.49781630703806873,0.031493225497278295
2023-01-04 19:00:00,0.5252043811889254,0.5762007773464375,0.560624796591307,0.5494069130122661,0.05696466210213575
2023-01-04 20:00:00,0.5497566892644937,0.6081114151802929,0.5605468330885234,0.5553558096289634,0.10180578255517915
2023-01-04 21:00:00,0.5075570179434383,0.5947825555367903,0.5241243078834131,0.5438199039995669,0.14481262713670728
2023-01-04 22:00:00,0.4813279689059538,0.5735427874055774,0.4750035142427996,0.512424429193139,0.1871148375760425
2023-01-04 23:00:00,0.41977289485580777,0.5091337552124804,0.4418314642184659,0.43415591019392,0.19912484784017906
2023-01-05 00:00:00,0.3267300983562189,0.4178371966427022,0.35354737904510997,0.3144525848925113,0.14766511908986352
2023-01-05 01:00:00,0.26839550326852235,0.4104506007920612,0.28123597708187603,0.31231763964891435,0.09937721247022803
2023-01-05 02:00:00,0.30018548585036214,0.4089675441655245,0.2879016205825304,0.34996912123262874,0.09212322523648088
2023-01-05 03:00:00,0.38455074708251397,0.537539971687577,0.3468136426414314,0.44565992133319376,0.11175375725735316
2023-01-05 04:00:00,0.6270242993796571,0.7978004946491936,0.53307798526789,0.7007540131062269,0.11168306719173084
2023-01-05 05:00:00,0.6857583264918887,0.8579427187822081,0.5711295091321594,0.7909259287863969,0.13754641526124692
2023-01-05 06:00:00,0.7056302963109575,0.8318649535558439,0.5701255855591674,0.7848498009145259,0.17875372920523988
2023-01-05 07:00:00,0.641638869187411,0.7998183143680744,0.5053815286253629,0.7994936788976192,0.22013780152255835
2023-01-05 08:00:00,0.6540989506770581,0.8920367375829003,0.5587218718936567,0.8656530042141675,0.2676315281878818
2023-01-05 09:00:00,0.6219861637318835,0.8587220856005494,0.5749294160228025,0.8262886641621587,0.2694098526239395
2023-01-05 10:00:00,0.5248939716815949,0.870978156003085,0.5282211557344386,0.8417697889804838,0.24475926212289112
2023-01-05 11:00:00,0.5131231333227718,0.8590611413392151,0.5234938190171594,0.8403289632946251,0.245926207629117
2023-01-05 12:00:00,0.5386748151919419,0.9168536013635721,0.5277653852418848,0.8711278918832541,0.2006771380522034
2023-01-05 13:00:00,0.5887678459111382,0.8796820845387198,0.6019875720927588,0.8091622057557106,0.20215232792225749
2023-01-05 14:00:00,0.6656578231559079,0.758021237904375,0.6314054528506178,0.7196305188536642,0.23144355465065344
2023-01-05 15:00:00,0.6908191632172639,0.706396533873948,0.6410513554435027,0.6735755348354575,0.16799191155216908
2023-01-05 16:00:00,0.7238704123041209,0.8142991969802161,0.723238870752485,0.6630535249114035,0.12234916382215241
2023-01-05 17:00:00,0.7426331149655228,0.7373586994138628,0.7424960889471203,0.5772805624455214,0.11229317205873403
2023-01-05 18:00:00,0.7034538451713672,0.6052787125381556,0.6742105158536056,0.4749698446691036,0.09642036695371975
2023-01-05 19:00:00,0.6666872931929194,0.45011449632319533,0.5853833767771718,0.36558732689917084,0.07520090223713355
2023-01-05 20:00:00,0.6104210848492733,0.3311452841216867,0.4931661256990935,0.2689031153060496,0.058251097581603316
2023-01-05 21:00:00,0.5399357807986875,0.262707023024559,0.41509263096671356,0.1852901770621538,0.051025262190537025
2023-01-05 22:00:00,0.46900194175103127,0.17667817258022048,0.33258695037741404,0.10353737919032573,0.061542281129143464
2023-01-05 23:00:00,0.3564877807831064,0.08476140896027738,0.2159182223207072,0.04030726835504174,0.07898852627385747
2023-01-06 00:00:00,0.2819601359963416,0.03366882049224594,0.13051469602082905,0.011512279450893403,0.087706322805448
2023-01-06 01:00:00,0.19909505156471446,0.006004576737230475,0.07057257100155478,0.00394014921784401,0.07021943095055493
2023-01-06 02:00:00,0.13842545054852962,1.4892877502874892e-05,0.03400633484125137,0.004373352169990539,0.07621354028582573
2023-01-06 03:00:00,0.08915666040690505,0.0004928503524173389,0.01657534398530659,0.011602212771773337,0.08869589311155406
2023-01-06 04:00:00,0.02650564942289801,0.01540123556147922,0.0033063344343712458,0.05129369985684752,0.043442667790434576
2023-01-06 05:00:00,0.019715375602245334,0.08946821168065071,0.0046185914819177835,0.12029380049556493,0.06501805014230988
2023-01-06 06:00:00,0.01570018112221185,0.21647568216378038,0.02239819886260911,0.2022543148547411,0.08441135172139513
2023-01-06 07:00:00,0.015889087617397307,0.36901345326141877,0.05363144244018353,0.3266134879440069,0.0525868513502858
2023-01-06 08:00:00,0.021963922166649028,0.4793982785398309,0.08355689617756167,0.4099950685538351,0.0375501478666609
2023-01-06 09:00:00,0.03004259417162222,0.5485087662122466,0.11000876996470126,0.4655798801109194,0.03557529868050055
2023-01-06 10:00:00,0.04520608239752404,0.6610452362353151,0.13632514158361836,0.551674347937107,0.02772188521244309
2023-01-06 11:00:00,0.06804145212997408,0.7595658001845532,0.1908050147600864,0.5988805378079413,0.010456146828152917
2023-01-06 12:00:00,0.1279816058891661,0.8340379066629843,0.2571694271344887,0.6735651948750018,0.006510495638305491
2023-01-06 13:00:00,0.21627335139057216,0.8878467369892381,0.3234818671957442,0.7528214646428821,0.006405890651724555
2023-01-06 14:00:00,0.30545477406067,0.9240539703314954,0.3891379788517952,0.7729841768145559,0.007046810788187114
2023-01-06 15:00:00,0.33376513821237225,0.9401707477732137,0.4278682636900951,0.7626209750175474,0.006301205056634816
2023-01-06 16:00:00,0.3907521928233259,0.9657010289755733,0.5558934658765792,0.8120995990186929,0.015789930718866262
2023-01-06 17:00:00,0.4146540059236919,0.971271492324092,0.5700427734538128,0.8132879217565057,0.0177092026241801
2023-01-06 18:00:00,0.4348941646603977,0.9847457852146843,0.6265159008063768,0.8150535746216772,0.02429016404531219
2023-01-06 19:00:00,0.47687847538905975,0.9947501559690995,0.6859802919469381,0.8091343741416932,0.04799951489676128
2023-01-06 20:00:00,0.5071569532857221,0.9969016794183038,0.7179932871617767,0.7902961586862802,0.09368538825349373
2023-01-06 21:00:00,0.5834715093935237,0.998359698490663,0.7675619720314677,0.8116757732033728,0.1564575297995047
2023-01-06 22:00:00,0.617068437197629,0.9992877330563285,0.8188683498219438,0.8478784883618353,0.19063448040322822
2023-01-06 23:00:00,0.6454833665139534,0.9993506162274968,0.8277522275008652,0.8511067999750376,0.19833914103833108
2023-01-07 00:00:00,0.6316582808775059,0.9987101833928715,0.8396888187527655,0.8071454619318243,0.17571490499106318
2023-01-07 01:00:00,0.6937013961462413,0.9920188502290032,0.8543891605734825,0.778176530316472,0.14603797625411638
2023-01-07 02:00:00,0.7319682555864837,0.9780883868445048,0.8759301448338908,0.7652991153374313,0.17532692393118682
2023-01-07 03:00:00,0.7624902755197356,0.97091252673756,0.9235992310078519,0.7500996856465935,0.2837372377243908
2023-01-07 04:00:00,0.857628061736331,0.9883930457992989,0.9568052803372084,0.8822389105111361,0.48311109694567594
2023-01-07 05:00:00,0.9292165690660475,0.9978547207875686,0.9785536018013954,0.9307618119567632,0.660022707744078
2023-01-07 06:00:00,0.9621720430430244,1.0,0.9882621509464162,0.9597384599149228,0.7721229039538989
2023-01-07 07:00:00,0.9759719549557742,1.0,0.9945076739160639,0.9579099886119364,0.8366517468203198
2023-01-07 08:00:00,0.975562199406764,0.9994950886206194,0.9969290271871968,0.9464362154006958,0.8646739237416874
2023-01-07 09:00:00,0.9740727589060277,0.9992746258323844,0.9977987565178621,0.9491788284629583,0.8953481720523402
2023-01-07 10:00:00,0.9771102865303263,1.0,0.9973137377437792,0.971726388052106,0.9044754979827189
2023-01-07 11:00:00,0.9855390484543408,1.0,0.9970765433499688,0.990232915148139,0.9095199253342369
2023-01-07 12:00:00,0.995005342364311,0.9994617747718638,0.9963088470540549,0.9907893430143595,0.9058799956874414
2023-01-07 13:00:00,0.9953430324792862,0.9936527901887893,0.9932049189115824,0.9820911846756937,0.8997548276456918
2023-01-07 14:00:00,0.9931723922491074,0.9910116168585692,0.9900171130581905,0.9859589514285325,0.9172915192896668
2023-01-07 15:00:00,0.9960437496970682,1.0,0.9919472002669385,0.9993808931410312,0.9234447410973634
2023-01-07 16:00:00,0.9994986772537231,1.0,0.9977545074098988,1.0,0.9280835558067668
2023-01-07 17:00:00,0.9999395769834519,1.0,0.998541183879501,1.0,0.9023342561179942
2023-01-07 18:00:00,1.0,1.0,0.9984569276006597,0.9986497804522513,0.8757746550440788
2023-01-07 19:00:00,0.999358349442482,1.0,0.9978381320049887,0.9976786331236364,0.8827301201224327
2023-01-07 20:00:00,0.9968682026863097,1.0,0.9926861668103617,0.9989082273840906,0.8461348906972194
2023-01-07 21:00:00,0.9972875177860262,1.0,0.9939052772678827,0.9992946590483189,0.747429739995436
2023-01-07 22:00:00,0.996850523352623,1.0,0.9925039170917712,0.9979427219927312,0.5730989523096518
2023-01-07 23:00:00,0.9943817472983809,0.9968675337596373,0.9804227292537689,0.9898174364566806,0.44514781621369454
2023-01-08 00:00:00,0.987297244019368,0.9840354758501053,0.956167066081574,0.973310919597745,0.47837924209508026
2023-01-08 01:00:00,0.9638109546724488,0.9538106567751278,0.9237341623400386,0.9262719369977711,0.5801784319769251
2023-01-08 02:00:00,0.9240820538997649,0.8935705291412094,0.8630544492288638,0.7974709635227918,0.5674141227115282
2023-01-08 03:00:00,0.8876545492691152,0.7277641002427447,0.8430297385234581,0.6185700698494909,0.5210017040913755
2023-01-08 04:00:00,0.8934699747492286,0.6834981734644281,0.8698635098181274,0.6590973493754861,0.4401470345529642
2023-01-08 05:00:00,0.9127152100906651,0.7114603169126944,0.867128361981166,0.6621506851464507,0.5147938045859336
2023-01-08 06:00:00,0.9219986249594126,0.654709113104777,0.8423717743472049,0.6128112767040728,0.5988410245830362
2023-01-08 07:00:00,0.8507722052581168,0.48721573439511373,0.7126300635620166,0.5394278827905652,0.6126312383196569
2023-01-08 08:00:00,0.7574230451794228,0.411531898677349,0.6048671025351471,0.5598586396127938,0.6487701860341157
2023-01-08 09:00:00,0.6915227512576999,0.49068439158526317,0.5382283855582538,0.644689155593514,0.5820398929715155
2023-01-08 10:00:00,0.7343992843522742,0.4848648784377358,0.5623182352593069,0.5736190701872109,0.4778974123976447
2023-01-08 11:00:00,0.6834794001894838,0.3847996595772829,0.4475483615147441,0.5835161180645226,0.40412890797311607
2023-01-08 12:00:00,0.6455137651632814,0.4460211178389462,0.3385679274954294,0.6905982059538364,0.46217073706063355
2023-01-08 13:00:00,0.657418447364779,0.5323254757848652,0.3025764023002825,0.7879201555401087,0.5836998934908345
2023-01-08 14:00:00,0.698533060831182,0.6821894685246727,0.3597586860939075,0.8785867250859736,0.723868424269286
2023-01-08 15:00:00,0.7516375165651825,0.7089221750335258,0.48354677380699845,0.8617750156670807,0.6243675720149819
2023-01-08 16:00:00,0.7986434605367041,0.760738433382728,0.6032285760578355,0.9004706796705724,0.4390380216728556
2023-01-08 17:00:00,0.6598803314215995,0.8025163746151057,0.5696451334263147,0.8740924294888973,0.46266269540244875
2023-01-08 18:00:00,0.5820780845424708,0.7951041835546492,0.5774581273605949,0.8096497263386846,0.42246937188235195
2023-01-08 19:00:00,0.5378796897916232,0.7672904641519893,0.5465076666913533,0.7971646314784885,0.23017931044101714
2023-01-08 20:00:00,0.48538784882601566,0.7975586606155741,0.5175621712992066,0.8137664350643755,0.10410354841839181
2023-01-08 21:00:00,0.5355131462566992,0.8424951643022621,0.6237439882127861,0.7909432091265914,0.06891686170615934
2023-01-08 22:00:00,0.644992899999899,0.887327188984914,0.6929428789333292,0.8057175256609916,0.05640843387354502
2023-01-08 23:00:00,0.7125676237484989,0.9228297951275652,0.7139312224325378,0.826056709498167,0.02847973292524165
2023-01-09 00:00:00,0.6465171886366954,0.9121714102409103,0.7497103179912817,0.7622886779904363,0.024970747814937074
2023-01-09 01:00:00,0.5264690356745438,0.8528969608111815,0.7146732802767504,0.6366063486784695,0.05781817166642709
2023-01-09 02:00:00,0.40085446817033427,0.7233075137842785,0.5904560343999611,0.5482522187866271,0.06893950198861686
2023-01-09 03:00:00,0.34672114842078255,0.6310814359242265,0.5022741958812662,0.5170138195008038,0.07219045209613713
2023-01-09 04:00:00,0.24987428468816417,0.5616182393919337,0.37180733402308663,0.5185633732602001,0.11341825053095818
2023-01-09 05:00:00,0.33641854144194544,0.6569184857877818,0.46557006850054394,0.6170557953566311,0.26806846716187216
2023-01-09 06:00:00,0.5446983934851253,0.7289558385177092,0.5602692590732322,0.7415343171656132,0.4657683346488258
2023-01-09 07:00:00,0.6979233465124578,0.7888162076473235,0.6479055684177497,0.8100764345973728,0.5378690156069669
2023-01-09 08:00:00,0.7804390862233498,0.7703315137191251,0.7042928469024204,0.7940123491734268,0.4990417158061808
2023-01-09 09:00:00,0.8413612541030433,0.7558868391134521,0.7044214426216325,0.8433065461367368,0.4653189806775612
2023-01-09 10:00:00,0.8558436222462094,0.8424774892763657,0.6978833376263317,0.9188277037888766,0.41187565947120836
2023-01-09 11:00:00,0.8619330987509559,0.9214293213324113,0.7087165776208827,0.9310630455911157,0.4688180463964288
2023-01-09 12:00:00,0.8833342948380638,0.8794593625177037,0.7258485119436916,0.9223847629278896,0.49260359038006174
2023-01-09 13:00:00,0.8716056429813889,0.7776120036298576,0.6667917570158054,0.9500112676918508,0.3921160400455648
2023-01-09 14:00:00,0.8918924717166844,0.8018318864432247,0.6200574717553036,0.9765073133856058,0.3519621382789178
2023-01-09 15:00:00,0.9169398219971097,0.837724664102901,0.6670954089101991,0.9762999142855406,0.37994593170556146
2023-01-09 16:00:00,0.9140062911194913,0.8875246971845627,0.6574630491043392,0.9846687600016594,0.39257409423589706
2023-01-09 17:00:00,0.9449923785995032,0.9526400466127829,0.7286541753850484,0.9946105987131594,0.33076328689401796
