cluster_id,lcoe,capex,fom,vom,CF_mean,Cluster_No,potential_capacity,Region,nearest_station,nearest_station_distance_km,Rank,Operational_life,resource_type
EastKootenay_1,52.026011305293615,1.3665982035504765,0.02376560345636052,0.0,0.2365956215258043,1,1464.6409886490535,EastKootenay,BC_FRO_ISS,6.345189941932854,1,20,solar
Okanagan-Similkameen_1,54.174429091352984,1.3665982035504765,0.02376560345636052,0.0,0.22749926443970042,1,1344.0740987736099,Okanagan-Similkameen,BC_VAS_TSS,2.1874318363184018,2,20,solar
EastKootenay_2,54.57393372452884,1.3665982035504765,0.02376560345636052,0.0,0.23420710471407905,2,2509.143253879833,EastKootenay,BC_CMO_DSS,11.997159725896417,3,20,solar
EastKootenay_3,55.72011865986113,1.3665982035504765,0.02376560345636052,0.0,0.22925490838572102,3,2925.9048427261077,EastKootenay,BC_KBY_DSS,10.52637005827368,4,20,solar
Okanagan-Similkameen_2,56.324065836538736,1.3665982035504765,0.02376560345636052,0.0,0.22750738939702222,2,1756.2368159713951,Okanagan-Similkameen,BC_CUM_DSS,10.72262020926058,8,20,solar
