class,description,color
1,flat (0-0.5%),#edf8e9
2,flat (0.5-2%),#bae4b3
3,low slope (2-5%),#74c476
4,low slope (5-8%),#31a354
5,moderate slope (8-16%),#addd8e
6,moderate slope (16-30%),#fdae61
7,high slope (30-45%),#fa5f57ff
8,high slope (>45%),#a0092cff
9,Water,#66c2a5
