class,description,color
1,artificial surfaces,#e31a1c
2,cropland,#62e660ff
3,grassland,#c4f19cff
4,forest/tree covered areas,#0a6304ff
5,shrubs covered areas,#cab2d6
6,herbaceous vegetation aquatic or regularly flooded areas,#a6cee3
7,mangroves,#1f78b4
8,sparse vegetation,#fdbf6f
9,bare soil,#fb9a99
10,snow and glaciers,#e2dfdfff
11,water bodies,#6a3d9a
