class,description,color
1,Continuous urban fabric,#e6004d
2,Discontinuous urban fabric,#ff0000
3,Industrial or commercial units,#cc4df2
4,Road and rail networks and associated land,#cc0000
5,Port areas,#e6cccc
6,Airports,#e6cce6
7,Mineral extraction sites,#a600cc
8,Dump sites,#a64dcc
9,Construction sites,#ff4dff
10,Green urban areas,#ffa6ff
11,Sport and leisure facilities,#ffe6ff
12,Non-irrigated arable land,#ffffa8
13,Permanently irrigated land,#ffff00
14,Rice fields,#e6e600
15,Vineyards,#e68000
16,Fruit trees and berry plantations,#f2a64d
17,Olive groves,#e6a600
18,Pastures,#e6e64d
19,Annual crops associated with permanent crops,#ffe6a6
20,Complex cultivation patterns,#ffe64d
21,Land principally occupied by agriculture with significant areas of natural vegetation,#e6cc4d
22,Agro-forestry areas,#f2cca6
23,Broad-leaved forest,#80ff00
24,Coniferous forest,#00a600
25,Mixed forest,#4dff00
26,Natural grasslands,#ccf24d
27,Moors and heathland,#a6ff80
28,Sclerophyllous vegetation,#a6e64d
29,Transitional woodland-shrub,#a6f200
30,Beaches-dunes-sands,#e6e6e6
31,Bare rocks,#cccccc
32,Sparsely vegetated areas,#ccffcc
33,Burnt areas,#000000
34,Glaciers and perpetual snow,#a6e6cc
35,Inland marshes,#a6a6ff
36,Peat bogs,#4d4dff
37,Salt marshes,#ccccff
38,Salines,#e6e6ff
39,Intertidal flats,#a6a6e6
40,Water courses,#00ccf2
41,Water bodies,#80f2e6
42,Coastal lagoons,#00ffa6
43,Estuaries,#a6ffe6
44,Sea and ocean,#e6f2ff
