class,description,color
1,no exclusion,#fee5d9
2,IUCN category in WDPA,#fcae91
3,WDPA and not an IUCN category,#fb6a4a
4,KBA and outside protected areas,#de2d26
5,GLWD-3 class 4-9 and outside protected area and KBA,#a50f15
6,buffers around protected areas (30arc sec buffer),#67000d
7,water,#66c2a5
